S.No,City,State,Alias,,,,
132,Shillong,Meghalaya,,,,,
133,Imphal,Manipur,,,,,
134,Hapur,Uttar Pradesh,,,,,
135,Ranipet,Tamil Nadu,,,,,
136,Anantapur,Andhra Pradesh,,,,,
137,Arrah,Bihar,,,,,
138,Karimnagar,Telangana,,,,,
139,Parbhani,Maharashtra,,,,,
140,Etawah,Uttar Pradesh,,,,,
141,Bharatpur,Rajasthan,,,,,
142,Begusarai,Bihar,,,,,
143,New Delhi,Delhi,,,,,
144,Chhapra,Bihar,,,,,
145,Kadapa,Andhra Pradesh,,,,,
146,Ramagundam,Telangana,,,,,
147,Pali,Rajasthan,,,,,
148,Satna,Madhya Pradesh,,,,,
149,Vizianagaram,Andhra Pradesh,,,,,
150,Katihar,Bihar,,,,,
151,Hardwar,Uttarakhand,,,,,
152,Sonipat,Haryana,,,,,
153,Nagercoil,Tamil Nadu,,,,,
154,Thanjavur,Tamil Nadu,,,,,
155,Murwara (Katni),Madhya Pradesh,,,,,
156,Naihati,West Bengal,,,,,
157,Sambhal,Uttar Pradesh,,,,,
158,Nadiad,Gujarat,,,,,
159,Yamunanagar,Haryana,,,,,
160,English Bazar,West Bengal,,,,,
161,Eluru,Andhra Pradesh,,,,,
162,Munger,Bihar,,,,,
163,Panchkula,Haryana,,,,,
164,Raayachuru,Karnataka,,,,,
165,Panvel,Maharashtra,,,,,
166,Deoghar,Jharkhand,,,,,
167,Ongole,Andhra Pradesh,,,,,
168,Nandyal,Andhra Pradesh,,,,,
169,Morena,Madhya Pradesh,,,,,
170,Bhiwani,Haryana,,,,,
171,Porbandar,Gujarat,,,,,
172,Palakkad,Kerala,,,,,
173,Anand,Gujarat,,,,,
174,Purnia,Bihar,,,,,
175,Baharampur,West Bengal,,,,,
176,Barmer,Rajasthan,,,,,
177,Morvi,Gujarat,,,,,
178,Orai,Uttar Pradesh,,,,,
179,Bahraich,Uttar Pradesh,,,,,
180,Sikar,Rajasthan,,,,,
181,Vellore,Tamil Nadu,,,,,
182,Singrauli,Madhya Pradesh,,,,,
183,Khammam,Telangana,,,,,
184,Mahesana,Gujarat,,,,,
185,Silchar,Assam,,,,,
186,Sambalpur,Odisha,,,,,
187,Rewa,Madhya Pradesh,,,,,
188,Unnao,Uttar Pradesh,,,,,
189,Hugli-Chinsurah,West Bengal,,,,,
190,Raiganj,West Bengal,,,,,
191,Phusro,Jharkhand,,,,,
192,Adityapur,Jharkhand,,,,,
193,Alappuzha,Kerala,,,,,
194,Bahadurgarh,Haryana,,,,,
195,Machilipatnam,Andhra Pradesh,,,,,
196,Rae Bareli,Uttar Pradesh,,,,,
197,Jalpaiguri,West Bengal,,,,,
198,Bharuch,Gujarat,,,,,
199,Pathankot,Punjab,,,,,
200,Hoshiarpur,Punjab,,,,,
201,Baramula,Jammu and Kashmir,,,,,
202,Adoni,Andhra Pradesh,,,,,
203,Jind,Haryana,,,,,
204,Tonk,Rajasthan,,,,,
205,Tenali,Andhra Pradesh,,,,,
206,Kancheepuram,Tamil Nadu,,,,,
207,Vapi,Gujarat,,,,,
208,Sirsa,Haryana,,,,,
209,Navsari,Gujarat,,,,,
210,Mahbubnagar,Telangana,,,,,
211,Puri,Odisha,,,,,
212,Robertson Pet,Karnataka,,,,,
213,Erode,Tamil Nadu,,,,,
214,Batala,Punjab,,,,,
215,Haldwani-cum-Kathgodam,Uttarakhand,,,,,
216,Vidisha,Madhya Pradesh,,,,,
217,Saharsa,Bihar,,,,,
218,Thanesar,Haryana,,,,,
219,Chittoor,Andhra Pradesh,,,,,
220,Veraval,Gujarat,,,,,
221,Lakhimpur,Uttar Pradesh,,,,,
222,Sitapur,Uttar Pradesh,,,,,
223,Hindupur,Andhra Pradesh,,,,,
224,Santipur,West Bengal,,,,,
225,Balurghat,West Bengal,,,,,
226,Ganjbasoda,Madhya Pradesh,,,,,
227,Moga,Punjab,,,,,
228,Proddatur,Andhra Pradesh,,,,,
229,Srinagar,Uttarakhand,,,,,
230,Medinipur,West Bengal,,,,,
231,Habra,West Bengal,,,,,
232,Sasaram,Bihar,,,,,
233,Hajipur,Bihar,,,,,
234,Bhuj,Gujarat,,,,,
235,Shivpuri,Madhya Pradesh,,,,,
236,Ranaghat,West Bengal,,,,,
237,Shimla,Himachal Pradesh,,,,,
238,Tiruvannamalai,Tamil Nadu,,,,,
239,Kaithal,Haryana,,,,,
240,Rajnandgaon,Chhattisgarh,,,,,
241,Godhra,Gujarat,,,,,
242,Hazaribag,Jharkhand,,,,,
243,Bhimavaram,Andhra Pradesh,,,,,
244,Mandsaur,Madhya Pradesh,,,,,
245,Dibrugarh,Assam,,,,,
246,Kolar,Karnataka,,,,,
247,Bankura,West Bengal,,,,,
248,Mandya,Karnataka,,,,,
249,Dehri-on-Sone,Bihar,,,,,
250,Madanapalle,Andhra Pradesh,,,,,
251,Malerkotla,Punjab,,,,,
252,Lalitpur,Uttar Pradesh,,,,,
253,Bettiah,Bihar,,,,,
254,Pollachi,Tamil Nadu,,,,,
255,Khanna,Punjab,,,,,
256,Neemuch,Madhya Pradesh,,,,,
257,Palwal,Haryana,,,,,
258,Palanpur,Gujarat,,,,,
259,Guntakal,Andhra Pradesh,,,,,
260,Nabadwip,West Bengal,,,,,
261,Udupi,Karnataka,,,,,
262,Jagdalpur,Chhattisgarh,,,,,
263,Motihari,Bihar,,,,,
264,Pilibhit,Uttar Pradesh,,,,,
265,Dimapur,Nagaland,,,,,
266,Mohali,Punjab,,,,,
267,Sadulpur,Rajasthan,,,,,
268,Rajapalayam,Tamil Nadu,,,,,
269,Dharmavaram,Andhra Pradesh,,,,,
270,Kashipur,Uttarakhand,,,,,
271,Sivakasi,Tamil Nadu,,,,,
272,Darjiling,West Bengal,,,,,
273,Chikkamagaluru,Karnataka,,,,,
274,Gudivada,Andhra Pradesh,,,,,
275,Baleshwar Town,Odisha,,,,,
276,Mancherial,Telangana,,,,,
277,Srikakulam,Andhra Pradesh,,,,,
278,Adilabad,Telangana,,,,,
279,Yavatmal,Maharashtra,,,,,
280,Barnala,Punjab,,,,,
281,Nagaon,Assam,,,,,
282,Narasaraopet,Andhra Pradesh,,,,,
283,Raigarh,Chhattisgarh,,,,,
284,Roorkee,Uttarakhand,,,,,
285,Valsad,Gujarat,,,,,
286,Ambikapur,Chhattisgarh,,,,,
287,Giridih,Jharkhand,,,,,
288,Chandausi,Uttar Pradesh,,,,,
289,Purulia,West Bengal,,,,,
290,Patan,Gujarat,,,,,
291,Bagaha,Bihar,,,,,
292,Hardoi ,Uttar Pradesh,,,,,
293,Achalpur,Maharashtra,,,,,
294,Osmanabad,Maharashtra,,,,,
295,Deesa,Gujarat,,,,,
296,Nandurbar,Maharashtra,,,,,
297,Azamgarh,Uttar Pradesh,,,,,
298,Ramgarh,Jharkhand,,,,,
299,Firozpur,Punjab,,,,,
300,Baripada Town,Odisha,,,,,
301,Karwar,Karnataka,,,,,
302,Siwan,Bihar,,,,,
303,Rajampet,Andhra Pradesh,,,,,
304,Pudukkottai,Tamil Nadu,,,,,
305,Anantnag,Jammu and Kashmir,,,,,
306,Tadpatri,Andhra Pradesh,,,,,
307,Satara,Maharashtra,,,,,
308,Bhadrak,Odisha,,,,,
309,Kishanganj,Bihar,,,,,
310,Suryapet,Telangana,,,,,
311,Wardha,Maharashtra,,,,,
312,Ranebennuru,Karnataka,,,,,
313,Amreli,Gujarat,,,,,
314,Neyveli (TS),Tamil Nadu,,,,,
315,Jamalpur,Bihar,,,,,
316,Marmagao,Goa,,,,,
317,Udgir,Maharashtra,,,,,
318,Tadepalligudem,Andhra Pradesh,,,,,
319,Nagapattinam,Tamil Nadu,,,,,
320,Buxar,Bihar,,,,,
321,Aurangabad,Maharashtra,,,,,
322,Jehanabad,Bihar,,,,,
323,Phagwara,Punjab,,,,,
324,Khair,Uttar Pradesh,,,,,
325,Sawai Madhopur,Rajasthan,,,,,
326,Kapurthala,Punjab,,,,,
327,Chilakaluripet,Andhra Pradesh,,,,,
328,Aurangabad,Bihar,,,,,
329,Malappuram,Kerala,,,,,
330,Rewari,Haryana,,,,,
331,Nagaur,Rajasthan,,,,,
332,Sultanpur,Uttar Pradesh,,,,,
333,Nagda,Madhya Pradesh,,,,,
334,Port Blair,Andaman and Nicobar Islands,,,,,
335,Lakhisarai,Bihar,,,,,
336,Panaji,Goa,,,,,
337,Tinsukia,Assam,,,,,
338,Itarsi,Madhya Pradesh,,,,,
339,Kohima,Nagaland,,,,,
340,Balangir,Odisha,,,,,
341,Nawada,Bihar,,,,,
342,Jharsuguda,Odisha,,,,,
343,Jagtial,Telangana,,,,,
344,Viluppuram,Tamil Nadu,,,,,
345,Amalner,Maharashtra,,,,,
346,Zirakpur,Punjab,,,,,
347,Tanda,Uttar Pradesh,,,,,
348,Tiruchengode,Tamil Nadu,,,,,
349,Nagina,Uttar Pradesh,,,,,
350,Yemmiganur,Andhra Pradesh,,,,,
351,Vaniyambadi,Tamil Nadu,,,,,
352,Sarni,Madhya Pradesh,,,,,
353,Theni Allinagaram,Tamil Nadu,,,,,
354,Margao,Goa,,,,,
355,Akot,Maharashtra,,,,,
356,Sehore,Madhya Pradesh,,,,,
357,Mhow Cantonment,Madhya Pradesh,,,,,
358,Kot Kapura,Punjab,,,,,
359,Makrana,Rajasthan,,,,,
360,Pandharpur,Maharashtra,,,,,
361,Miryalaguda,Telangana,,,,,
362,Shamli,Uttar Pradesh,,,,,
363,Seoni,Madhya Pradesh,,,,,
364,Ranibennur,Karnataka,,,,,
365,Kadiri,Andhra Pradesh,,,,,
366,Shrirampur,Maharashtra,,,,,
367,Rudrapur,Uttarakhand,,,,,
368,Parli,Maharashtra,,,,,
369,Najibabad,Uttar Pradesh,,,,,
370,Nirmal,Telangana,,,,,
371,Udhagamandalam,Tamil Nadu,,,,,
372,Shikohabad,Uttar Pradesh,,,,,
373,Jhumri Tilaiya,Jharkhand,,,,,
374,Aruppukkottai,Tamil Nadu,,,,,
375,Ponnani,Kerala,,,,,
376,Jamui,Bihar,,,,,
377,Sitamarhi,Bihar,,,,,
378,Chirala,Andhra Pradesh,,,,,
379,Anjar,Gujarat,,,,,
380,Karaikal,Puducherry,,,,,
381,Hansi,Haryana,,,,,
382,Anakapalle,Andhra Pradesh,,,,,
383,Mahasamund,Chhattisgarh,,,,,
384,Faridkot,Punjab,,,,,
385,Saunda,Jharkhand,,,,,
386,Dhoraji,Gujarat,,,,,
387,Paramakudi,Tamil Nadu,,,,,
388,Balaghat,Madhya Pradesh,,,,,
389,Sujangarh,Rajasthan,,,,,
390,Khambhat,Gujarat,,,,,
391,Muktsar,Punjab,,,,,
392,Rajpura,Punjab,,,,,
393,Kavali,Andhra Pradesh,,,,,
394,Dhamtari,Chhattisgarh,,,,,
395,Ashok Nagar,Madhya Pradesh,,,,,
396,Sardarshahar,Rajasthan,,,,,
397,Mahuva,Gujarat,,,,,
398,Bargarh,Odisha,,,,,
399,Kamareddy,Telangana,,,,,
400,Sahibganj,Jharkhand,,,,,
401,Kothagudem,Telangana,,,,,
402,Ramanagaram,Karnataka,,,,,
403,Gokak,Karnataka,,,,,
404,Tikamgarh,Madhya Pradesh,,,,,
405,Araria,Bihar,,,,,
406,Rishikesh,Uttarakhand,,,,,
407,Shahdol,Madhya Pradesh,,,,,
408,Medininagar (Daltonganj),Jharkhand,,,,,
409,Arakkonam,Tamil Nadu,,,,,
410,Washim,Maharashtra,,,,,
411,Sangrur,Punjab,,,,,
412,Bodhan,Telangana,,,,,
413,Fazilka,Punjab,,,,,
414,Palacole,Andhra Pradesh,,,,,
415,Keshod,Gujarat,,,,,
416,Sullurpeta,Andhra Pradesh,,,,,
417,Wadhwan,Gujarat,,,,,
418,Gurdaspur,Punjab,,,,,
419,Vatakara,Kerala,,,,,
420,Tura,Meghalaya,,,,,
421,Narnaul,Haryana,,,,,
422,Kharar,Punjab,,,,,
423,Yadgir,Karnataka,,,,,
424,Ambejogai,Maharashtra,,,,,
425,Ankleshwar,Gujarat,,,,,
426,Savarkundla,Gujarat,,,,,
427,Paradip,Odisha,,,,,
428,Virudhachalam,Tamil Nadu,,,,,
429,Kanhangad,Kerala,,,,,
430,Kadi,Gujarat,,,,,
431,Srivilliputhur,Tamil Nadu,,,,,
432,Gobindgarh,Punjab,,,,,
433,Tindivanam,Tamil Nadu,,,,,
434,Mansa,Punjab,,,,,
435,Taliparamba,Kerala,,,,,
436,Manmad,Maharashtra,,,,,
437,Tanuku,Andhra Pradesh,,,,,
438,Rayachoti,Andhra Pradesh,,,,,
439,Virudhunagar,Tamil Nadu,,,,,
440,Koyilandy,Kerala,,,,,
441,Jorhat,Assam,,,,,
442,Karur,Tamil Nadu,,,,,
443,Valparai,Tamil Nadu,,,,,
444,Srikalahasti,Andhra Pradesh,,,,,
445,Neyyattinkara,Kerala,,,,,
446,Bapatla,Andhra Pradesh,,,,,
447,Fatehabad,Haryana,,,,,
448,Malout,Punjab,,,,,
449,Sankarankovil,Tamil Nadu,,,,,
450,Tenkasi,Tamil Nadu,,,,,
451,Ratnagiri,Maharashtra,,,,,
452,Rabkavi Banhatti,Karnataka,,,,,
453,Sikandrabad,Uttar Pradesh,,,,,
454,Chaibasa,Jharkhand,,,,,
455,Chirmiri,Chhattisgarh,,,,,
456,Palwancha,Telangana,,,,,
457,Bhawanipatna,Odisha,,,,,
458,Kayamkulam,Kerala,,,,,
459,Pithampur,Madhya Pradesh,,,,,
460,Nabha,Punjab,,,,,
461,"Shahabad, Hardoi",Uttar Pradesh,,,,,
462,Dhenkanal,Odisha,,,,,
463,Uran Islampur,Maharashtra,,,,,
464,Gopalganj,Bihar,,,,,
465,Bongaigaon City,Assam,,,,,
466,Palani,Tamil Nadu,,,,,
467,Pusad,Maharashtra,,,,,
468,Sopore,Jammu and Kashmir,,,,,
469,Pilkhuwa,Uttar Pradesh,,,,,
470,Tarn Taran,Punjab,,,,,
471,Renukoot,Uttar Pradesh,,,,,
472,Mandamarri,Telangana,,,,,
473,Shahabad,Karnataka,,,,,
474,Barbil,Odisha,,,,,
475,Koratla,Telangana,,,,,
476,Madhubani,Bihar,,,,,
477,Arambagh,West Bengal,,,,,
478,Gohana,Haryana,,,,,
479,Ladnu,Rajasthan,,,,,
480,Pattukkottai,Tamil Nadu,,,,,
481,Sirsi,Karnataka,,,,,
482,Sircilla,Telangana,,,,,
483,Tamluk,West Bengal,,,,,
484,Jagraon,Punjab,,,,,
485,AlipurdUrban Agglomerationr,West Bengal,,,,,
486,Alirajpur,Madhya Pradesh,,,,,
487,Tandur,Telangana,,,,,
488,Naidupet,Andhra Pradesh,,,,,
489,Tirupathur,Tamil Nadu,,,,,
490,Tohana,Haryana,,,,,
491,Ratangarh,Rajasthan,,,,,
492,Dhubri,Assam,,,,,
493,Masaurhi,Bihar,,,,,
494,Visnagar,Gujarat,,,,,
495,Vrindavan,Uttar Pradesh,,,,,
496,Nokha,Rajasthan,,,,,
497,Nagari,Andhra Pradesh,,,,,
498,Narwana,Haryana,,,,,
499,Ramanathapuram,Tamil Nadu,,,,,
500,Ujhani,Uttar Pradesh,,,,,
501,Samastipur,Bihar,,,,,
502,Laharpur,Uttar Pradesh,,,,,
503,Sangamner,Maharashtra,,,,,
504,Nimbahera,Rajasthan,,,,,
505,Siddipet,Telangana,,,,,
506,Suri,West Bengal,,,,,
507,Diphu,Assam,,,,,
508,Jhargram,West Bengal,,,,,
509,Shirpur-Warwade,Maharashtra,,,,,
510,Tilhar,Uttar Pradesh,,,,,
511,Sindhnur,Karnataka,,,,,
512,Udumalaipettai,Tamil Nadu,,,,,
513,Malkapur,Maharashtra,,,,,
514,Wanaparthy,Telangana,,,,,
515,Gudur,Andhra Pradesh,,,,,
516,Kendujhar,Odisha,,,,,
517,Mandla,Madhya Pradesh,,,,,
518,Mandi,Himachal Pradesh,,,,,
519,Nedumangad,Kerala,,,,,
520,North Lakhimpur,Assam,,,,,
521,Vinukonda,Andhra Pradesh,,,,,
522,Tiptur,Karnataka,,,,,
523,Gobichettipalayam,Tamil Nadu,,,,,
524,Sunabeda,Odisha,,,,,
525,Wani,Maharashtra,,,,,
526,Upleta,Gujarat,,,,,
527,Narasapuram,Andhra Pradesh,,,,,
528,Nuzvid,Andhra Pradesh,,,,,
529,Tezpur,Assam,,,,,
530,Una,Gujarat,,,,,
531,Markapur,Andhra Pradesh,,,,,
532,Sheopur,Madhya Pradesh,,,,,
533,Thiruvarur,Tamil Nadu,,,,,
534,Sidhpur,Gujarat,,,,,
535,Sahaswan,Uttar Pradesh,,,,,
536,Suratgarh,Rajasthan,,,,,
537,Shajapur,Madhya Pradesh,,,,,
538,Rayagada,Odisha,,,,,
539,Lonavla,Maharashtra,,,,,
540,Ponnur,Andhra Pradesh,,,,,
541,Kagaznagar,Telangana,,,,,
542,Gadwal,Telangana,,,,,
543,Bhatapara,Chhattisgarh,,,,,
544,Kandukur,Andhra Pradesh,,,,,
545,Sangareddy,Telangana,,,,,
546,Unjha,Gujarat,,,,,
547,Lunglei,Mizoram,,,,,
548,Karimganj,Assam,,,,,
549,Kannur,Kerala,,,,,
550,Bobbili,Andhra Pradesh,,,,,
551,Mokameh,Bihar,,,,,
552,Talegaon Dabhade,Maharashtra,,,,,
553,Anjangaon,Maharashtra,,,,,
554,Mangrol,Gujarat,,,,,
555,Sunam,Punjab,,,,,
556,Gangarampur,West Bengal,,,,,
557,Thiruvallur,Tamil Nadu,,,,,
558,Tirur,Kerala,,,,,
559,Rath,Uttar Pradesh,,,,,
560,Jatani,Odisha,,,,,
561,Viramgam,Gujarat,,,,,
562,Rajsamand,Rajasthan,,,,,
563,Yanam,Puducherry,,,,,
564,Kottayam,Kerala,,,,,
565,Panruti,Tamil Nadu,,,,,
566,Dhuri,Punjab,,,,,
567,Namakkal,Tamil Nadu,,,,,
568,Kasaragod,Kerala,,,,,
569,Modasa,Gujarat,,,,,
570,Rayadurg,Andhra Pradesh,,,,,
571,Supaul,Bihar,,,,,
572,Kunnamkulam,Kerala,,,,,
573,Umred,Maharashtra,,,,,
574,Bellampalle,Telangana,,,,,
575,Sibsagar,Assam,,,,,
576,Mandi Dabwali,Haryana,,,,,
577,Ottappalam,Kerala,,,,,
578,Dumraon,Bihar,,,,,
579,Samalkot,Andhra Pradesh,,,,,
580,Jaggaiahpet,Andhra Pradesh,,,,,
581,Goalpara,Assam,,,,,
582,Tuni,Andhra Pradesh,,,,,
583,Lachhmangarh,Rajasthan,,,,,
584,Bhongir,Telangana,,,,,
585,Amalapuram,Andhra Pradesh,,,,,
586,Firozpur Cantt.,Punjab,,,,,
587,Vikarabad,Telangana,,,,,
588,Thiruvalla,Kerala,,,,,
589,Sherkot,Uttar Pradesh,,,,,
590,Palghar,Maharashtra,,,,,
591,Shegaon,Maharashtra,,,,,
592,Jangaon,Telangana,,,,,
593,Bheemunipatnam,Andhra Pradesh,,,,,
594,Panna,Madhya Pradesh,,,,,
595,Thodupuzha,Kerala,,,,,
596,KathUrban Agglomeration,Jammu and Kashmir,,,,,
597,Palitana,Gujarat,,,,,
598,Arwal,Bihar,,,,,
599,Venkatagiri,Andhra Pradesh,,,,,
600,Kalpi,Uttar Pradesh,,,,,
601,Rajgarh (Churu),Rajasthan,,,,,
602,Sattenapalle,Andhra Pradesh,,,,,
603,Arsikere,Karnataka,,,,,
604,Ozar,Maharashtra,,,,,
605,Thirumangalam,Tamil Nadu,,,,,
606,Petlad,Gujarat,,,,,
607,Nasirabad,Rajasthan,,,,,
608,Phaltan,Maharashtra,,,,,
609,Rampurhat,West Bengal,,,,,
610,Nanjangud,Karnataka,,,,,
611,Forbesganj,Bihar,,,,,
612,Tundla,Uttar Pradesh,,,,,
613,BhabUrban Agglomeration,Bihar,,,,,
614,Sagara,Karnataka,,,,,
615,Pithapuram,Andhra Pradesh,,,,,
616,Sira,Karnataka,,,,,
617,Bhadrachalam,Telangana,,,,,
618,Charkhi Dadri,Haryana,,,,,
619,Chatra,Jharkhand,,,,,
620,Palasa Kasibugga,Andhra Pradesh,,,,,
621,Nohar,Rajasthan,,,,,
622,Yevla,Maharashtra,,,,,
623,Sirhind Fatehgarh Sahib,Punjab,,,,,
624,Bhainsa,Telangana,,,,,
625,Parvathipuram,Andhra Pradesh,,,,,
626,Shahade,Maharashtra,,,,,
627,Chalakudy,Kerala,,,,,
628,Narkatiaganj,Bihar,,,,,
629,Kapadvanj,Gujarat,,,,,
630,Macherla,Andhra Pradesh,,,,,
631,Raghogarh-Vijaypur,Madhya Pradesh,,,,,
632,Rupnagar,Punjab,,,,,
633,Naugachhia,Bihar,,,,,
634,Sendhwa,Madhya Pradesh,,,,,
635,Byasanagar,Odisha,,,,,
636,Sandila,Uttar Pradesh,,,,,
637,Gooty,Andhra Pradesh,,,,,
638,Salur,Andhra Pradesh,,,,,
639,Nanpara,Uttar Pradesh,,,,,
640,Sardhana,Uttar Pradesh,,,,,
641,Vita,Maharashtra,,,,,
642,Gumia,Jharkhand,,,,,
643,Puttur,Karnataka,,,,,
644,Jalandhar Cantt.,Punjab,,,,,
645,Nehtaur,Uttar Pradesh,,,,,
646,Changanassery,Kerala,,,,,
647,Mandapeta,Andhra Pradesh,,,,,
648,Dumka,Jharkhand,,,,,
649,Seohara,Uttar Pradesh,,,,,
650,Umarkhed,Maharashtra,,,,,
651,Madhupur,Jharkhand,,,,,
652,Vikramasingapuram,Tamil Nadu,,,,,
653,Punalur,Kerala,,,,,
654,Kendrapara,Odisha,,,,,
655,Sihor,Gujarat,,,,,
656,Nellikuppam,Tamil Nadu,,,,,
657,Samana,Punjab,,,,,
658,Warora,Maharashtra,,,,,
659,Nilambur,Kerala,,,,,
660,Rasipuram,Tamil Nadu,,,,,
661,Ramnagar,Uttarakhand,,,,,
662,Jammalamadugu,Andhra Pradesh,,,,,
663,Nawanshahr,Punjab,,,,,
664,Thoubal,Manipur,,,,,
665,Athni,Karnataka,,,,,
666,Cherthala,Kerala,,,,,
667,Sidhi,Madhya Pradesh,,,,,
668,Farooqnagar,Telangana,,,,,
669,Peddapuram,Andhra Pradesh,,,,,
670,Chirkunda,Jharkhand,,,,,
671,Pachora,Maharashtra,,,,,
672,Madhepura,Bihar,,,,,
673,Pithoragarh,Uttarakhand,,,,,
674,Tumsar,Maharashtra,,,,,
675,Phalodi,Rajasthan,,,,,
676,Tiruttani,Tamil Nadu,,,,,
