name,poc_email_primary,poc_email_secondary,logo,level,cover_photo
Ministry of Skill Development and Entrepreneurship,secy-msde@nic.in,,Ministry%20of%20Skill%20Development%20and%20Entrepreneurship.png,National,4-industrialistWoman-02.png
Ministry of Social Justice and Empowerment,officesjem@gmail.com,secywel@nic.in,MinistryofSocialJustice.png,National,8-conversation-02.png
Ministry of Statistics and Programme Implementation,tca.anant@nic.in,,Ministry%20of%20Statstics.png,National,8-conversation-02.png
Ministry of Steel,secy-steel@nic.in,,MinistryOfSteel.jpg,National,4-industrialistWoman-02.png
Ministry of Textiles,mot_fb@nic.in,secy-textiles@nic.in,MinistryOfTextiles.jpg,National,8-conversation-02.png
Ministry of Tourism,sectour@nic.in,,MinistryOfTourism.jpg,National,8-conversation-02.png
Ministry of Tribal Affairs,secy-tribal@nic.in,,Ministry%20of%20Tribal%20Affairs.jpg,National,1-boyPlanting-02.png
Ministry of Women and Child Development,min-wcd@gov.in,secy.wcd@nic.in,Ministry%20of%20Women%20and%20Child%20Development.jpg,National,2-OldLady-02.png
Ministry of Youth Affairs and Sports,myasoffice@gmail.com,secy-sports@nic.in,Ministry%20of%20Youth%20Affairs%20and%20Sports.png,National,6-schoolGirl-02.png
Government of NCT Delhi,cmdelhi@nic.in,,GovernmentOfNCTDelhi.jpg,Local,8-conversation-02.png
SEBI,sebi@sebi.gov.in,,SEBI.png,National,4-industrialistWoman-02.png
RBI,rdmumbai@rbi.org.in,,RBI.png,National,4-industrialistWoman-02.png
Insolvency and Bankruptcy Board of India,feedback@ibbi.gov.in,,Insolvency%20and%20Bankruptcy%20Board%20of%20India.jpg,National,4-industrialistWoman-02.png
Government of Rajasthan,jsrv.cmo@rajasthan.gov.in,,GovtOfRajasthan.jpg,State,8-conversation-02.png
Bruhat Bengaluru Mahanagara Palike (BBMP),comm@bbmp.gov.in,,BBMP.png,Local,7-scootyMan-02.png
Chandigarh Administration,secy.governor.pb@gmail.com,,Chandigarh_Administration.png,Local,7-scootyMan-02.png
Government of Puducherry,cs.pon@nic.in,,GovernmentOfPuducherry.png,Local,7-scootyMan-02.png
Municipal Corporation of Greater Mumbai,mc@mcgm.gov.in,amc.city@mcgm.gov.in,MunicipalCorporationOfGreaterMumbai.jpg,Local,7-scootyMan-02.png
