created_at,response_deadline,published_at,title,url,Feedback Submission Email ID,ministry,summary
15/11/2018,10/12/2018,29/11/2018,TRAI Review on Printed Bills,https://www.trai.gov.in/sites/default/files/CP15112018.pdf,advfea1@trai.gov.in,Telecom Regulatory Authority of India,"India's telecom authority wants to make paper bills for postpaid telecom connections optional, and make electronic bills the default. It takes into consideration the demographic profile of the Indian population in terms of education, e-literacy, age and affordability of smartphones.
 
 The authority is looking for your inputs on the following questions:
 
 • Should the e-bill be made a default option?
 • How should the bills be made available to customers who do not use email?
 • Should the customer be charged if he subsequently changes his/her bills to paper bills? What would be the safeguards?
 • Should the information on paper bills be the same for e-bills too?"
27/11/2018,26/10/2018,30/11/2018,Delhi Electric Vehicle Policy,http://transport.delhi.gov.in/sites/default/files/All-PDF/Electric%20Policy%202018.pdf,dcops05@gmail.com,Government of NCT Delhi,"The Delhi Government has proposed the Delhi Electric Vehicle Policy, 2018 to fight vehicular pollution. The draft policy aims to make 25% of all vehicles in Delhi electric by 2023. In order to do so, the Delhi Government would incentivize the purchase and use of electric vehicles and support the electrification of public transport. These incentives would be over and above the incentives offered by the Government of India as a part of the Faster Adoption and Manufacturing of Hybrid and Electric Vehicles in India (FAME) scheme.
 
 • A subsidy of up to Rs. 22,000 would be offered on purchase of e-two wheelers. Models with swappable battery would be offered additional subsidy and incentives of up to Rs. 15,000 would be given for scrapping Bharat Stage II and III two-wheelers.
 
 • The draft policy promises to allow open permit system for e-autos. Individual e-autos will get down payment subsidy of up to Rs. 12,500 and 5% interest grant. Passengers using App-based e-autos will get cashback up to Rs.10 per trip.
 
 • E-rickshaws would get payment subsidy of up to Rs. 20,000 and 5% interest grant. Passengers using App-based e-rickshaws will also be offered a cashback up to Rs. 10 per trip.
 
 • The Delhi Government aims to buy 1000 electric buses in 2019. The draft policy ensures that 50% of the public transport bus fleet would comprise of electric vehicles by 2023.
 • According to the draft policy, the Government of Delhi would offer subsidy of up to Rs. 20,000 for the first 5,000 e-Carriers with advanced, swappable batteries.
 
 • Electric vehicles would enjoy a waiver of all road tax, registration and MCD parking fees.
 
 The policy recommends setting up public battery charging and swapping stations across Delhi every 3 kms. It offers a subsidy of 100% up to Rs. 30,000 to set up charging points for the first 10,000 private charging points.
 
 Apart from providing incentives, the policy also seeks to promote large–scale job creation in driving, selling, financing, servicing and charging of electric vehicles."
1.1.2019,2.1.2019,24.12.2019,Television Ratings & Privacy of Users,https://bit.ly/2CirFXi,TRAI,Telecom Regulatory Authority of India,"The Telecom Regulatory Authority of India has floated a consultation paper to explore new technologies and enhance the fairness and neutrality of TV ratings in India, keeping in mind our privacy.
 
 The authority wants our inputs on a few questions:
 
 • Has the Broadcast Audience Research Council, currently the only provider of TV rating services been able to accomplish its purpose?
 
 • Do stakeholders have adequate representation in the ownership of BARC?
 
 • Is there a necessity to promote competition in TV ratings services in order to make them more accurate and widely accepted?
 
 • Are TV ratings based on limited homes representative of the masses? What will be the commercial challenges of increasing this number?
 
 • What methods should be adopted to keep individual information private and anonymous?
 
 • Should BARC be allowed to provide raw databases to broadcasters and how should the secrecy of people be maintained?
 
 • Should the Government facilitate collection of viewership data electronically with consent of the viewers to increase data collection points?"
14.12.2018,4.1.2019,3.1.2019,National Child Protection Policy,https://bit.ly/2R3VYdo,,Ministry of Women and Child Development,"The policy will apply to all institutions and organizations (including corporate and media houses),government or private sector for providing a safe and conducive environment for children.
 
 The draft policy has four aspects of creating awareness, prevention, reporting and responding. The draft policy recommends all organisations must have a code of conduct based on zero tolerance of child abuse and exploitation.
 
 The employees are to be governed by rules that ensure that they are not using language or behavior that is inappropriate,abusive sexually demeaning or culturally inappropriate.The institutions have to designate a staff member to ensure thatprocedures are in place to ensure proper implementation of the draft policy.
 
 Any individual suspecting physical,sexual or emotional abuse must report it to the helpline number 1908, police or a child welfare committee. The policy document has a list of behaviours towards children that are punishable by law."
24.11.2018,13.1.2019,7.1.2019,Cosmetics Rules 2018,https://bit.ly/2Fim9Wq,,Ministry of Health and Family Welfare,"With an aim to remove any possible lapses in the existing Drugs and Cosmetics Act covering cosmetics and make manufacturers and importers more accountable for safety and efficacy of cosmetics being sold in the country, the Union ministry of health and family welfare has come out with draft Cosmetics Rules, 2018.

As per the draft rules, DCGI shall enforce regulations and grant approvals to the laboratories which apply to carry out tests on cosmetics and their raw materials/ ingredients. The premises licensed for manufacturing cosmetics shall be inspected by inspector appointed by the government to verify whether the conditions of license are met at least once in two years.

To distribute any cosmetic of Indian origin, it should be manufactured by a licensed manufacturer and labeled and packed in accordance with the standards prescribed by the Bureau of Indian Standards (BIS).  

In case of cosmetics; where a risk exists, every inner label shall clearly indicate adequate directions for safe use. For a cosmetic to be imported in India, it should be registered in accordance with the rules by the central licensing authority.

No cosmetics shall be imported unless the “use before or use by’’ date shown on the label, wrapper or container of the cosmetic is later than six months from the date of import.

The draft also states that no cosmetic that has been tested on animals after October 13, 2014 shall be imported into the country."
24.12.2018,2.2.2019,7.1.2019,Amendments to the IT Act,https://bit.ly/2GJTdJv,,Ministry of Electronics and Information Technology,"The proposed Amendments are aimed at curbing fake news spread over social media, and increasing the traceability of social media activity responsible for fake news by amending the Information Technology Act, 2000.

On receiving complaints from law enforcement agencies, companies responsible for operating the social media platforms have to trace and report the origin of the fake messages within 72 hrs.

The companies also have to disable access (within a day) to the content  deemed to be defamatory, against national security or public peace.
The information and the associated records with the content,  will have to be preserved for 180 days. Social media platforms having more than 5 million users to have a registered entity in India which will be governed by the provisions of Companies Act.

They have to appoint a nodal officer who can deal with the law enforcement agencies 24* 7. Such an officer will also be responsible for sending communication to the users about the privacy policies of the company once a month.

The social media platforms are also required tools to identify and remove/disable public access to unlawful content."
1.1.2018,3.3.2018,7.1.2019,National Book Promotion Policy,https://bit.ly/2C86RQS,,Ministry of Human Resource Development,"The National Book Promotion Policy aims to improve the availability, accessibility and quality of books for all segments of society, including differently-abled people.

It aims to encourage readers across the country including those living in remote and rural areas, with a focus on people who have not yet been exposed to reading. It will meet this goal through assistive devices in schools and libraries to help those with disabilities read. It will promote publication of books in local languages and braille. It will encourage the inclusion of neighborhood libraries in Smart City and Adarsh Village projects.

In addition, it will encourage the creation of library services at post offices and panchayat offices. School libraries will also be supported to be open to the public outside school hours.

To support authors, it will create an interactive online platform where authors can understand laws and regulations about royalty and rights, share and publish their books.  It will try to institutionalize contracts between authors and publishers. It will provide grants to authors, learning from international best practices. It will strengthen academic publishing and make sure all research papers written with Government funding are open access."
27.12.2019,2.2.2019,7.1.2019,Cinematograph Act (Amendment) Bill,https://bit.ly/2RXmPHO,,Ministry of Information and Broadcasting,"The Amendment's aim is to combat film piracy.

Section 7 of the Cinematograph Act  prescribes the penalties for behaviour that violates the Act.

Under the draft amendment, any person who exhibits any audiovisual work, or cinematorgraphic work in an exhibition facility without express permission from the copyright owner can be punished. If s/he makes a recording of the film or of the sound in a film - s/he will be punished with imprisonment for a term not exceeding three years and liable to a fine not exceeding 10 lakhs or merely imprisonment or both.

The draft amendment criminalises recording or short clips made from electronic devices like mobile phones. Sending these short clips through applications such as Whatsapp, is also an offence."
16.1.2019,16.2.2019,8.2.2019,National Urban Innovation Stack,https://bit.ly/2WSeMvA,,Ministry of Housing and Urban Affairs,"The Ministry of Urban Affairs through NUIS is aiming at increasing economic growth along with improving the quality of life of India's urban residents by using technology.

The National Urban Innovation Stack aims to increase the digital infrastructure within the urban ecosystem in India. Digital infrastructure will act as an interface between all the stakeholders responsible for urban development.

The development programmes undertaken will be be based on data driven governance and make the stakeholders more accountable to their subjects by providing them with digital tools for proper coordination and implementation.

The NUIS will be a digital and physical backbone for other programmes such as India Urban Data Exchange, Smart Procure, Research ad innovation for Urban India, Smart Side, Smart Governance and many more.

NUIS, will also assist India's urban functionaries, elected representatives and civil society to build smart and inclusive cities.

NUIS will act as virtual hub that brings immediate results to the stakeholders in the urban ecosystem."
6.2.2019,31.3.2019,12.2.2019,"National Urban Policy Framework, 2018",https://bit.ly/2N1jhzk,,Ministry of Housing and Urban Affairs,"This framework is a new approach to the challenges of infrastructure, governance and sustainability faced because of rapid urbanisation in India. The framework is based on ten philosophical principles which are applied to ten functional areas of urban management.

The NUPF encourages analysis of the current status of the functional areas, the challenges posed, assessment of priorities and then the formation of specific possible actions.

The NUPF recognises urban development as a responsibility of the State Government, and shifts away from the earlier top down central schemes.The Policy aims to increase the interaction of various institutions (social and economic) among themselves and preserves local contexts in their original form. It pitches for the evolution of an organic, decentralised framework for implementation of the policy.

Existing branches of the NUPF are the HRIDAY and Smart City Missions. Overall, NUPF aims to create an a bottom-up approach for urban planning and management without losing the local context of an urban space to overcome with its own problems."
5.2.2019,19.2.2019,12.2.2019,"National Logistics Policy, 2018",https://bit.ly/2GntIwF,,Ministry of Commerce and Industry,"The Draft National Logistics policy has been framed with an aim to create an e-marketplace as an one stop marketplace for exporters and importers and set-up a separate fund for start-ups in the logistics sector in order to double the employment generated by the sector.

The policy focuses on perishable commodities because of the specialized nature of requirements and gets involved in the ""farm to plate"" domain. The draft policy suggests an increase in the usage of technology based interventions such as digital verification at all check-points to increase the speed across key corridors.

An online portal aims to bring greater transparency and faster clearances, reducing the cost of the logistics with the help of advanced technologies like blockchain. The Policy will be creating a single point of reference for all the logistics and trade facilitation matters in the country and will act as a knowledge and information sharing platform for all the logistics providers, buyers and government agencies.There will be a data and analytics centre for transparency and continuous monitoring of key logistics metrics, conducted by the National Council for Logistics, chaired by the Prime Minister.

The Policy aims to promote more cross-regional trade on e-commerce platforms by reducing the costs of transportation and inventory holding, strengthening the air cargo infrastructure, storage infrastructure for railways and improving the technology of the Department of Posts, while developing the warehousing sector.

The MSME sector and small business sector will be the key beneficiaries of the Policy and will have a better access to the market."
26.1.2019,26.2.2019,18.2.2019,"Draft Offshore Wind Energy Lease Rules, 2019",https://bit.ly/2SG5jsC,,Ministry of New and Renewable Energy,"The Draft Policy provides a basic framework for development of offshore wind energy in the country.

According to the Draft Offshore Wind Energy Lease Rules, no offshore wind project development activity can be undertaken without a lease.

The wind energy blocks are to be allocated to successful bidders through international competitive bidding only and the lease fees are only to be collected by the designated nodal agency - the National Institute of Wind Energy.

The MRE will grant lease for all offshore wind projects within Indian Exclusive Economic Zones. Every lease shall contain specific terms and conditions as prescribed in the rules.

In cases, where the lease has been/is to be granted by the State Government, the Central Government may consult the State Government before agreeing to the terms.

The area covered under the lease, as specified in the terms of the lease will be initially valid for a period of 5 years for surveying and 30 years for the establishment of offshore wind power projects.

The applicants of the lease must deposit Rs 0.1 million per MW for installations and Rs 1000 per square kilometer in case of surveying. In addition to this the applicants must pay yearly lease fee, a sum calculated for each square kilometer covered by the lease at the rate of Rs 10000 every year."
13.2.2019,28.2.2019,20.2.2019,Rajasthan Social Accountability Bill,https://bit.ly/2BPaxI4,,Government of Rajasthan,"The Bill seeks to ensure free flow of information with the public by using modern electronic and technological tools. It seeks to ensure greater  accountability of public functionaries and establish a well-structured grievance redressal mechanism.

The Bill adopts a democratic and participative approach to enable wider public participation in monitoring the policies through instruments such as community score cards, citizens report card, weekly and fortnightly public hearings. Obtaining feedback for effective policy and decision making is a major component of the bill to increase transparency, objectivity and accountability.

The Bill emphasises the right of the common public for a time bound delivery of goods and services through a system of information dissemination.

The Citizens Charter laid down in the bill calls every public authority to publish a charter, specifying the category of goods and services provided including the budget required in the whole process.

The Job Chart published by each public authority shall have have the details of duties and obligations of each public official/authority in a particular department.

Grievance Redressal Officers will be appointed, of the concerned Public Authority to address the complaints made to them.

The State Government shall establish an Information and Facilitation centre in every block so as to monitor the delivery of goods and services as well as grievance redressal.

There will a well structured mechanism for Social Audit of 11 the welfare programmes that come under the ambit of the Act. There will be an appointment of a Rajasthan Social Accountability Commission having the powers of a civil court, acting as an appellate authority for any Grievance Redressal process."
27.2.2019,15.3.2019,8.3.2019,Delhi Transplantation of Trees Policy,https://bit.ly/2TqhFpe,,Government of NCT Delhi,"Keeping in mind increased development and cutting of trees in Delhi, this policy aims to set new norms for tree transplantation, to reduce the ecological impact of development.

The policy says that trees should be properly preserved and should not be unnecessarily cut for development projects. Trees that can be preserved should be identified in the planning stage of projects. 

Where trees can be preserved in their original environment, they should be transplanted, and 80% of transplanted trees should survive for at least one year after transplantation. The policy provides detailed rules on how to transplant trees. In accordance with existing laws, for every 1 tree cut in Delhi, 10 new trees will be planted.

Transplanted trees will be geo-tagged to enable tracking of their health. The Government will in 3 months create ward level citizen- committees to monitor the success of tree transplantation.

All applications for tree cutting will be available online on the Government's website. Special land banks will be created for replanting trees, and if no land is available, applicants who cut trees must find a suitable location for transplantation."
26.02.2019,18.3.2019,8.3.2019,Delhi Policy for Holding Social Functions in Farm Houses,https://bit.ly/2VK6O6a,,Government of NCT Delhi,"The Delhi Government, keeping in mind the safety and security of residents, has drafted a new Policy for hosting social functions in Low Density Residential Areas like farmhouses or Motels.

According to the rules, prior permission must be taken before hosting an event at a farmhouse or motel. Social events can only take place inside the permanent structures of farmhouses or by erecting temporary open air tents.

Permission will only be granted if there is adequate parking space and space for people at the venue. Authorised spaces can only hold events for a total of 120 days in a year. No parking for such events will be available on the road and parking availability must be shown outside the premises on a board. Horse drawn carriages and bands will only be allowed inside the compound, not on the road. 

Vendors must meet FSSAI guidelines for food safety and must partner with an NGO to distribute leftover food to the underprivileged. The Policy lists all procedures to be followed to adhere to these rules. 

Owners must also ensure proper sanitary hygiene, CCTV cameras at entry points, fire clearances and proper disposal of solid waste."
11.3.2019,11.4.2019,18.3.2019,National Green Aviation Policy,http://tinyurl.com/yyjbw9x9,,Ministry of Civil Aviation,"The National Aviation Policy aims at addressing the impact of the aviation industry on the environment and sharing the approach of the Government, towards protecting the environment.

The Policy has identified 14 major aspects of environmental impact in the aviation sector. The Policy calls for an effective environment management system by emphasizing the need for airlines to use modern, less noisy and more fuel efficient aircrafts.

All the new and upcoming airports are required to have clean energy generation projects on site and adopt green building plans. Keeping in mind the necessity of bio jet fuels, the Policy lays down that the Directorate General Of Civil Aviation should work with the oil ministry and private agencies and stakeholders to facilitate the availability of commercially viable bio jet fuels, with lower emissions.

The Policy calls for a creation of a simplified regulatory regime to speed up clearances for airport development and other aviation projects, without having any adverse effect on environmental sustainability. The airports will also adopt local air quality monitoring systems and programs to monitor the air quality around the airport.

The policy also proposes a centre of excellence for green aviation that will focus on identifying environment friendly solutions, research , competency and skill developments and aviation programmes."
13.3.2019,13.4.2019,18.3.2019,Youth Club Development Programme,https://bit.ly/2Y4ifrl,,Ministry of Youth Affairs and Sports,"This programme has been formed to strengthen the existing network of Youth Clubs with representation from all sections of society. The policy also orients the youth on the NYKS Annual Action Plan.

The implementation strategy emphasises building up a co-ordination system between youth clubs, leaders, and various government agencies.

Under the programme, youth clubs will be formed, dormant clubs will be revived, and the updated profile of the clubs will be uploaded in the NYKS website.

Through the Programme, there will be extensive discussion on the NYKS Action Plan and the youth will be made aware of the developmental programmes run by the government and the ways to be benefitted from the schemes.

There is a fixed budget of Rs 15,000/- for such programmes."
30.3.2019,30.4.2019,15.4.2019,City GDP Measurement Framework,https://bit.ly/2P9D0hk,,Ministry of Housing and Urban Affairs,"With increasing urbanization, urban areas are expected to house 40% of India’s population and contribute 75% of India’s GDP by 2030. More than one study has shown that firms and people show higher productivity in cities. For the lack of critical data to track the indicators of economic growth in a city, the Ministry of Housing and Urban Affairs (MoHUA) will appoint a team under Technical Assistance for Smart Cities (TASC) to conduct the following activities:

• Explore the availability of suitable data at the national, state and city level which can be used to estimate city level GDP.
• Develop a framework to estimate city level GDP based on available data sets.
• Estimate city GDP and adjust it suitably to reflect spatial productivity differences.

Policymakers will be able to use this data to plan for future infrastructure investments and raise finances for the same. The private sector will be able to use this data to complement public investment, strategize business decisions. They will also be empowered to identify ‘emerging city economies’ – i.e. future investment destinations, beyond the usual metropolitan suspects. Citizens may use this data to make migration decisions, and academicians and researchers will be able to exploit the data to undertake critical research in urban economics and planning."
